标题,日期,来源,链接
拥抱以人为本、智能向善的数字未来,发布时间：2024-11-24 09:51:28,来源：新闻,https://news.cctv.com/2024/11/24/ARTIJ5pQ08SyE8pCAut7q63f241124.shtml
各国嘉宾齐聚乌镇 探讨数智时代下的未成年人保护,发布时间：2024-11-23 14:21:26,来源：公益频道,https://gongyi.cctv.com/2024/11/23/ARTI3mBQc4mpHY4E16K1Xmj5241123.shtml
全球未成年人网络保护经验汇聚乌镇,发布时间：2024-11-23 14:11:16,来源：公益频道,https://gongyi.cctv.com/2024/11/23/ARTINI8hdZCQNNiG2v5WzjkA241123.shtml
多项新技术亮相2024年世界互联网大会乌镇峰会,发布时间：2024-11-22 11:57:55,来源：新闻,https://news.cctv.com/2024/11/22/ARTIaG4UdYLKg9dX0rAMcuKX241122.shtml
2024年世界互联网大会乌镇峰会未成年人网络保护论坛举行,发布时间：2024-11-22 09:13:38,来源：新闻,https://news.cctv.com/2024/11/22/ARTI7G91QS0s0tdEkEHK8NAO241122.shtml
2024年世界互联网大会乌镇峰会未成年人网络保护论坛举行,发布时间：2024-11-21 21:23:24,来源：新闻,https://news.cctv.com/2024/11/21/ARTI1ov7b12FZ4XKoYFjbFQM241121.shtml
让AI人人可享人人受益,发布时间：2024-11-21 13:15:48,来源：产业+,https://business.cctv.com/2024/11/21/ARTI8GIGzQZDsHSB9w1QnCKF241121.shtml
2024年世界互联网大会领先科技奖颁奖典礼举行,发布时间：2024-11-20 09:52:02,来源：新闻,https://news.cctv.com/2024/11/20/ARTITX4rGhl6U8ZCeeluJbEa241120.shtml
中国信通院发布“方升”大模型基准测试系列成果,发布时间：2024-11-18 17:34:28,来源：产业+,https://business.cctv.com/2024/11/18/ARTIaLMXwh2DUlD8EtDjYOIO241118.shtml
曹立军在全市民营经济高质量发展座谈会上强调：以更大力度更实举措更优环境支持民营企业做优做强，推动民营经济高质量发展,发布时间：2024-11-18 16:30:04,来源：地方频道,https://local.cctv.com/2024/11/18/ARTITbxJA9JqV9QtMU340Y6J241118.shtml
成都AG超玩会夺得首个KPL年度总决赛冠军,发布时间：2024-11-17 15:54:23,来源：体育,https://sports.cctv.com/2024/11/17/ARTIIPWQlxZLNsuxJDCbVC8P241117.shtml
东风汽车三品牌组团登陆广州车展 多款车型亮相发布,发布时间：2024-11-15 22:47:02,来源：汽车频道,https://auto.cctv.com/2024/11/15/ARTIvYojh3GjuW88McIZyGFW241115.shtml
总台超高清电视大小屏融合传播研讨会在京召开,发布时间：2024-11-15 17:37:02,来源：总台之声,https://www.cctv.com/2024/11/15/ARTIIrtsdfQlCKaqOB80E73V241115.shtml
广州国际媒体港·东塔：构建世界级地标商圈综合体，打造国际文化科技总部,发布时间：2024-11-15 12:39:33,来源：地方频道,https://local.cctv.com/2024/11/15/ARTIjGCKtGJOwTEsKupLXj4R241115.shtml
成都传媒集团诚邀业内人士在蓉共商开放合作互利共赢智媒体路径,发布时间：2024-11-15 10:59:49,来源：新闻,https://news.cctv.com/2024/11/15/ARTIpaWRJ1MrTQQh7EhAVY96241115.shtml
"“AI+出海”助力新芽突破，<font color=""red"">腾讯</font>三季度实现营收1671.93亿元",发布时间：2024-11-13 17:51:52,来源：经济,https://jingji.cctv.com/2024/11/13/ARTITqwFAjhysBSVypmEhwxe241113.shtml
中国电影电视技术学会2024年学术年会在福州圆满结束,发布时间：2024-11-12 18:02:12,来源：AIGC频道,https://aigc.cctv.com/2024/11/12/ARTIUIGoVfEcfkq5ie6qchVO241112.shtml
传承红色基因 奋进伟大时代,发布时间：2024-11-11 19:00:57,来源：科教,https://kejiao.cctv.com/2024/11/11/ARTIEPoNOaLOSFfjrh95D0wH241111.shtml
深圳获“世界智慧城市大奖” 生动诠释超大城市社会治理全球影响力,发布时间：2024-11-08 15:19:49,来源：经济,https://jingji.cctv.com/2024/11/08/ARTIx7gzShFY0xkjeCKbLTMI241108.shtml
中医药传承创新前瞻论坛将在雄安召开,发布时间：2024-11-07 16:04:01,来源：产业+,https://business.cctv.com/2024/11/07/ARTIn3TotsEC3Bkv3qzP1BtA241107.shtml
重大革命题材电视剧《西北岁月》11月5日开播,发布时间：2024-11-06 06:51:41,来源：新闻,https://news.cctv.com/2024/11/06/ARTINL6F4NImfLeuT1sUmZcj241106.shtml
“数据要素×”大赛宁夏分赛吹响百日攻坚“冲锋号”,发布时间：2024-11-05 18:49:55,来源：地方频道,https://local.cctv.com/2024/11/05/ARTIBttjTdVWoIDrAvRczJME241105.shtml
“剧”有品质！《光影临汾·中国精品微短剧之夜》不负期待,发布时间：2024-11-05 09:56:00,来源：新闻,https://news.cctv.com/2024/11/05/ARTItY2Pj3K90RvyFWebRNI1241105.shtml
